# CODE | Illustration title | Drawing family | Individually selected geometry
AD|Pyrenean valley|alpine|30,188 89,88 121,127 184,45 239,119 288,179
AE|Burj Khalifa|burj|160,22
AF|Minaret of Jam|minaret|137,47,46,159
AG|Antiguan sailing harbour|harbour|64,115,4
AI|Anguilla beach|island|30,180 79,163 122,177 179,169 236,185 286,181
AL|Berat hillside houses|village|42,150 96,114 150,82 209,111 266,159
AM|Armenian highlands and monastery|church|154,93,34,54
AO|Angolan rocky escarpment|cliffs|24,192 54,134 83,136 98,79 136,73 151,142 199,101 232,108 276,193
AQ|Antarctic ice shelf|ice|25,172 51,100 97,104 114,72 162,81 181,140 225,110 289,177
AR|Patagonian peaks|alpine|23,194 75,112 111,141 147,34 175,93 204,50 237,135 293,195
AS|American Samoan volcanic coast|island|25,189 61,163 103,92 134,87 172,134 211,120 253,176 291,193
AT|Alpine lakeside village|village|25,180 83,83 128,112 179,60 237,118 294,180
AU|Sydney Opera House|opera|0
AW|Aruba divi-divi tree|divi|125,164
AX|Aland sailing coast|harbour|76,126,3
AZ|Baku Maiden Tower|roundtower|134,68,54,136
BA|Mostar Old Bridge|bridge|46,115,225,84
BB|Barbados windmill|windmill|155,91,65
BD|Bagerhat mosque domes|mosque|5,2,118,37
BE|Atomium|atomium|0
BF|Painted earthen houses|adobe|58,128,5
BG|Rila monastery courtyard|monastery|5,72,116
BH|Bahrain fort|fort|4,121,31
BI|Lake Tanganyika shoreline|lake|27,163 79,103 132,131 172,100 223,147 292,162
BJ|Abomey palace courtyard|adobe|48,137,6
BL|Gustavia harbour|harbour|48,134,5
BM|Bermuda lighthouse and pink shore|lighthouse|218,71,35
BN|Brunei golden-domed mosque|mosque|1,2,116,51
BO|Andean salt-flat horizon|salt|26,162 86,121 133,74 169,126 223,105 291,164
BQ|Bonaire cactus coast|cactus|66,159,3
BR|Christ the Redeemer|existing|0
BS|Bahamian blue hole and cay|bluehole|155,154,78
BT|Himalayan cliff monastery|monastery|3,129,94
BV|Bouvet volcanic ice island|ice|28,184 70,136 112,108 154,61 190,107 242,154 287,183
BW|Okavango delta|wetland|28,154 93,147 143,166 206,144 282,153
BY|Mir Castle|castle|4,98,118
BZ|Belize reef and blue hole|bluehole|166,149,96
CA|CN Tower|cntower|0
CC|Cocos lagoon|atoll|161,150,108,35
CD|Congo rainforest river|forest|37,122,6
CF|Central African forest clearing|forest|46,108,5
CG|Congo river forest|forest|29,137,7
CH|Matterhorn silhouette|alpine|27,198 73,153 111,127 168,36 180,74 208,134 250,169 291,199
CI|Coastal palms and lagoon|wetland|25,170 87,150 134,164 186,144 234,161 294,170
CK|Cook Islands lagoon|atoll|144,147,113,43
CL|Rapa Nui moai|moai|3,86,101
CM|Cameroon volcanic highlands|volcano|35,193 95,145 144,56 174,61 221,145 286,194
CN|Great Wall ridge|wall|28,157 76,145 110,94 161,116 207,78 247,123 294,136
CO|Cartagena clock gate|clockgate|147,84,33
CR|Costa Rican rainforest volcano|volcano|25,195 88,143 139,74 175,76 230,148 292,196
CU|Havana dome and arcade|capitol|153,94,43
CV|Cape Verde volcanic island|volcano|23,198 75,172 149,49 178,65 238,169 292,197
CW|Curacao waterfront facades|facades|5,64,116
CX|Christmas Island forest and crab|crab|156,154,1
CY|Cypriot ancient theatre|theatre|160,118,106
CZ|Prague bridge towers|bridge|48,139,224,51
DE|Brandenburg Gate|gate|6,65,113
DJ|Salt lake and desert escarpment|salt|24,148 85,119 133,144 177,117 233,130 294,149
DK|Copenhagen waterfront|facades|6,49,104
DM|Dominican rainforest waterfall|waterfall|36,79 109,71 137,91 169,72 227,85 285,122
DO|Caribbean colonial cathedral|church|151,105,45,44
DZ|Saharan rock formations|desert|26,180 60,132 87,136 106,61 126,65 145,145 184,93 217,101 241,169 292,188
EC|Equatorial Andes|volcano|25,196 88,143 141,55 174,58 235,147 289,196
EE|Tallinn old-town towers|castle|3,81,127
EG|Giza pyramids|pyramids|0
EH|Saharan dunes and Atlantic coast|dunes|37,149 98,111 166,160 224,121 289,175
ER|Asmara modernist wings|wings|160,126
ES|Sagrada Familia spires|spires|6,86,94
ET|Lalibela rock-hewn church|rockchurch|0
FI|Finnish lake and spruce forest|pine|40,113,7
FJ|Fijian island and sailing canoe|canoe|142,169,1
FK|Falkland rocky shore and penguins|penguins|42,153,3
FM|Micronesian basalt islet|basalt|4,132,35
FO|Faroe sea cliffs|cliffs|20,187 49,92 91,91 117,117 159,67 208,81 241,147 291,184
FR|Eiffel Tower|existing|0
GA|Gabon rainforest coast|forest|33,119,6
GB|Elizabeth Tower|bigben|0
GD|Grenada harbour hillside|harbour|67,107,5
GE|Caucasus church silhouette|church|165,98,30,53
GF|Guianan rainforest river|forest|33,101,7
GG|Guernsey coastal castle|fort|3,109,42
GH|Cape Coast fort|fort|5,135,26
GI|Rock of Gibraltar|cliffs|30,195 80,162 129,70 178,75 225,121 273,184
GL|Greenland iceberg fjord|ice|27,184 50,126 93,146 124,72 160,113 195,86 225,151 284,185
GM|Gambian river and pirogue|canoe|161,175,2
GN|Guinean highland waterfall|waterfall|29,94 98,81 139,101 173,90 217,105 289,130
GP|Guadeloupe volcanic coast|volcano|25,194 75,158 122,84 165,70 224,149 294,195
GQ|Equatorial forest and mountain|forest|48,103,5
GR|Acropolis temple|temple|6,72,112
GS|South Georgia peaks and penguins|penguins|48,141,4
GT|Tikal temple|stepyramid|7,126,59
GU|Guam latte stones|latte|3,80,115
GW|Bijagos mangrove islands|wetland|25,168 68,148 107,157 151,141 203,159 245,148 293,171
GY|Guianan plateau waterfall|waterfall|28,73 94,69 131,75 171,77 227,71 291,109
HK|Hong Kong harbour skyline|skyline|46,132 83,91 116,117 153,47 193,75 233,111 270,144
HM|Heard Island icy volcano|ice|27,192 79,148 126,83 158,43 189,98 242,151 293,194
HN|Mayan stepped ruins|stepyramid|5,140,75
HR|Adriatic walled town|fort|6,117,24
HT|Haitian hilltop citadel|fort|3,79,43
HU|Budapest parliament silhouette|parliament|156,94,6
ID|Monas|existing|0
IE|Irish sea cliffs|cliffs|22,109 62,102 113,115 166,98 213,117 276,127 287,196 24,196
IL|Ancient limestone arcade|arcade|5,81,112
IM|Manx coastal castle|castle|2,117,85
IN|Taj Mahal|existing|0
